r1_domain,r2_domain,r1_h_index,r2_h_index,r1_publications,r2_publications,r1_years_experience,r2_years_experience,r1_institution,r2_institution,r1_country,r2_country,r1_citations,r2_citations,r1_grants,r2_grants,shared_keywords,same_domain,same_institution_type,same_country,h_index_diff,experience_diff,total_grants,avg_publications,compatibility_score,compatible
Cloud Computing,Cloud Computing,8,7,30,29,24,15,Private University,Private University,USA,Australia,180,261,6,7,6,1,1,0,1,9,13,29.5,83,1
NLP,Data Science,4,13,18,32,10,17,Research Institute,Private University,UK,Canada,324,480,8,9,1,0,0,0,9,7,17,25.0,39,0
Data Science,Cloud Computing,9,16,30,24,10,16,IIT,IIT,India,India,180,216,7,7,0,0,1,1,7,6,14,27.0,64,1
NLP,Robotics,12,11,63,22,21,8,NIT,IIT,India,Germany,378,484,4,5,1,0,0,0,1,13,9,42.5,57,1
Robotics,Quantum Computing,10,10,37,40,12,8,IIT,Private University,India,Canada,444,640,4,3,1,0,0,0,0,4,7,38.5,65,1
IoT,Quantum Computing,8,8,44,32,22,13,Research Institute,Central University,Australia,India,1056,192,5,3,0,0,0,0,0,9,8,38.0,54,0
Data Science,Computer Vision,8,16,37,34,14,1,NIT,IIT,Australia,USA,222,442,0,7,1,0,0,0,8,13,7,35.5,29,0
IoT,Machine Learning,12,2,29,15,11,11,IIT,Central University,Germany,Australia,261,120,8,4,0,0,0,0,10,0,12,22.0,35,0
Cybersecurity,Machine Learning,7,10,16,44,6,7,Central University,Research Institute,Canada,UK,368,396,0,5,1,0,0,0,3,1,5,30.0,69,1
Cloud Computing,Computer Vision,13,5,29,13,28,26,IIT,Central University,Canada,India,232,169,8,4,0,0,0,0,8,2,12,21.0,48,0
Robotics,Computer Vision,22,11,36,47,20,16,Research Institute,NIT,India,Australia,540,1128,9,6,1,0,0,0,11,4,15,41.5,36,0
Cybersecurity,Cloud Computing,12,14,36,40,27,22,NIT,NIT,USA,Australia,684,360,8,0,0,0,1,0,2,5,8,38.0,78,1
NLP,Cloud Computing,15,15,31,42,13,7,Research Institute,Private University,Canada,Canada,620,966,4,6,1,0,0,1,0,6,10,36.5,67,1
Computer Vision,IoT,3,7,23,25,8,25,Research Institute,Private University,UK,India,529,200,3,3,0,0,0,0,4,17,6,24.0,44,0
NLP,Cybersecurity,14,5,31,24,3,16,NIT,Research Institute,Australia,UK,744,384,8,9,1,0,0,0,9,13,17,27.5,44,0
NLP,IoT,13,12,33,23,22,4,Research Institute,Central University,Australia,UK,264,230,0,4,1,0,0,0,1,18,4,28.0,53,0
Cloud Computing,Cybersecurity,10,6,17,37,2,24,Central University,Private University,UK,Canada,408,703,0,7,0,0,0,0,4,22,7,27.0,56,1
Data Science,Quantum Computing,15,8,25,33,22,21,Research Institute,Research Institute,USA,USA,450,759,1,3,0,0,1,1,7,1,4,29.0,49,0
Cybersecurity,Bioinformatics,10,10,56,22,12,15,Research Institute,Central University,Canada,Germany,448,506,8,5,1,0,0,0,0,3,13,39.0,61,1
IoT,Machine Learning,21,9,56,39,28,26,Private University,Central University,India,Australia,672,936,8,0,0,0,0,0,12,2,8,47.5,46,0
Machine Learning,Bioinformatics,9,17,21,32,26,22,Research Institute,IIT,USA,UK,357,480,4,3,0,0,0,0,8,4,7,26.5,51,0
Robotics,Machine Learning,5,12,29,26,1,27,NIT,Central University,UK,Australia,145,260,2,2,1,0,0,0,7,26,4,27.5,41,0
Cloud Computing,Quantum Computing,3,7,13,21,16,19,Research Institute,NIT,Australia,India,221,105,3,4,0,0,0,0,4,3,7,17.0,35,0
Machine Learning,NLP,6,11,32,30,1,8,Private University,NIT,UK,UK,416,150,7,9,1,0,0,1,5,7,16,31.0,68,1
Data Science,Robotics,8,4,41,18,3,1,Research Institute,Central University,USA,UK,328,234,9,2,1,0,0,0,4,2,11,29.5,55,1
Computer Vision,Quantum Computing,16,9,31,34,7,3,Research Institute,NIT,Germany,Canada,744,272,6,7,1,0,0,0,7,4,13,32.5,43,0
Computer Vision,NLP,25,13,35,22,1,13,Central University,Private University,Germany,Canada,350,110,2,9,0,0,0,0,12,12,11,28.5,38,0
Quantum Computing,Bioinformatics,10,2,29,14,12,9,IIT,IIT,Australia,Canada,580,126,6,8,0,0,1,0,8,3,14,21.5,39,0
Quantum Computing,Machine Learning,6,6,21,47,16,6,Private University,Central University,India,UK,168,893,5,4,1,0,0,0,0,10,9,34.0,56,1
Cybersecurity,Robotics,17,8,30,25,26,6,Private University,Research Institute,India,India,510,375,9,5,1,0,0,1,9,20,14,27.5,33,0
Cybersecurity,Cloud Computing,5,7,12,18,22,11,IIT,IIT,UK,UK,108,144,9,9,1,0,1,1,2,11,18,15.0,71,1
Cloud Computing,Data Science,6,14,34,29,14,11,Research Institute,Research Institute,USA,Canada,612,522,1,1,1,0,1,0,8,3,2,31.5,38,0
Robotics,Cybersecurity,10,13,20,22,18,9,NIT,Private University,India,Australia,180,418,5,0,0,0,0,0,3,9,5,21.0,50,0
Quantum Computing,Robotics,18,5,48,38,13,4,Research Institute,Private University,India,UK,1056,304,2,7,0,0,0,0,13,9,9,43.0,38,0
Cybersecurity,Data Science,11,7,27,27,23,17,NIT,IIT,USA,Germany,216,162,7,6,0,0,0,0,4,6,13,27.0,57,1
Quantum Computing,Cybersecurity,3,9,25,29,11,4,IIT,Central University,Australia,India,475,638,8,6,0,0,0,0,6,7,14,27.0,43,0
Cybersecurity,NLP,3,13,27,32,25,24,Research Institute,NIT,Germany,Germany,432,448,3,3,1,0,0,1,10,1,6,29.5,56,1
Cloud Computing,Cybersecurity,6,6,35,17,3,10,NIT,Research Institute,Germany,USA,525,289,6,8,1,0,0,0,0,7,14,26.0,79,1
Cloud Computing,Cloud Computing,8,14,25,27,1,15,Research Institute,NIT,Canada,USA,475,648,6,2,6,1,0,0,6,14,8,26.0,77,1
Computer Vision,Data Science,13,10,37,28,27,5,Central University,Research Institute,Germany,India,814,392,8,8,1,0,0,0,3,22,16,32.5,53,0
Computer Vision,Data Science,4,8,21,31,3,4,Private University,Central University,Germany,USA,399,403,5,9,0,0,0,0,4,1,14,26.0,36,0
Data Science,Machine Learning,17,13,34,41,29,19,Central University,Central University,Australia,USA,170,574,4,3,1,0,1,0,4,10,7,37.5,74,1
Data Science,Quantum Computing,6,2,15,26,16,16,Research Institute,NIT,Germany,Germany,120,130,8,2,0,0,0,1,4,0,10,20.5,55,1
Machine Learning,Data Science,5,24,16,41,14,19,NIT,NIT,USA,Canada,240,902,8,0,1,0,1,0,19,5,8,28.5,53,0
Computer Vision,Machine Learning,2,20,26,45,25,3,IIT,NIT,Canada,Australia,546,900,4,8,1,0,0,0,18,22,12,35.5,56,1
NLP,Data Science,4,7,13,37,4,2,Central University,IIT,India,UK,182,703,4,0,1,0,0,0,3,2,4,25.0,50,0
IoT,Data Science,5,10,27,57,6,4,Private University,NIT,India,Canada,135,285,6,7,0,0,0,0,5,2,13,42.0,53,0
Cloud Computing,Cloud Computing,14,6,25,33,8,1,NIT,Research Institute,USA,UK,175,462,1,2,6,1,0,0,8,7,3,29.0,79,1
Cloud Computing,NLP,6,9,29,32,25,8,Private University,IIT,Australia,Germany,580,640,8,4,0,0,0,0,3,17,12,30.5,40,0
Quantum Computing,Bioinformatics,2,9,22,42,20,1,Research Institute,NIT,India,India,374,252,9,9,0,0,0,1,7,19,18,32.0,40,0
Bioinformatics,Quantum Computing,15,14,31,33,22,19,NIT,Central University,Canada,India,341,231,6,6,0,0,0,0,1,3,12,32.0,53,0
IoT,Cybersecurity,5,9,21,34,17,4,IIT,Central University,India,Canada,462,748,6,0,0,0,0,0,4,13,6,27.5,32,0
Data Science,Bioinformatics,7,22,35,38,19,13,IIT,Private University,India,USA,700,760,8,8,1,0,0,0,15,6,16,36.5,49,0
Cybersecurity,Computer Vision,2,7,14,28,17,29,Research Institute,Central University,Canada,Germany,70,224,5,3,1,0,0,0,5,12,8,21.0,37,0
Quantum Computing,NLP,6,12,36,35,16,6,Research Institute,NIT,India,Australia,792,560,0,9,1,0,0,0,6,10,9,35.5,56,1
IoT,Machine Learning,10,8,25,20,9,8,Research Institute,IIT,Canada,USA,400,280,1,8,1,0,0,0,2,1,9,22.5,67,1
Cloud Computing,IoT,17,3,27,20,25,13,Central University,Private University,UK,Canada,648,420,6,8,1,0,0,0,14,12,14,23.5,60,1
NLP,Data Science,14,4,34,21,12,25,IIT,Central University,UK,Canada,714,399,6,8,1,0,0,0,10,13,14,27.5,37,0
Bioinformatics,Bioinformatics,10,12,50,39,29,17,NIT,IIT,Australia,Canada,1100,312,8,4,6,1,0,0,2,12,12,44.5,89,1
Bioinformatics,Cloud Computing,19,6,76,19,9,7,Private University,Central University,India,USA,1824,190,4,7,1,0,0,0,13,2,11,47.5,41,0
NLP,NLP,3,4,16,29,3,6,Central University,IIT,Germany,Canada,80,493,8,0,6,1,0,0,1,3,8,22.5,94,1
Cybersecurity,Quantum Computing,8,8,22,14,4,28,Research Institute,NIT,Canada,Germany,242,252,4,9,1,0,0,0,0,24,13,18.0,37,0
Robotics,Cybersecurity,5,22,19,35,15,19,Research Institute,Central University,USA,Australia,228,455,4,1,1,0,0,0,17,4,5,27.0,45,0
Data Science,NLP,4,5,19,22,4,2,Private University,NIT,Australia,Canada,95,154,4,8,0,0,0,0,1,2,12,20.5,67,1
NLP,Robotics,4,17,44,34,2,16,Research Institute,NIT,Australia,UK,880,748,1,7,1,0,0,0,13,14,8,39.0,44,0
Cloud Computing,NLP,15,14,45,29,24,5,NIT,Research Institute,Germany,USA,990,319,5,9,1,0,0,0,1,19,14,37.0,58,1
Data Science,Cloud Computing,3,5,23,36,3,13,IIT,IIT,Australia,USA,207,288,3,8,1,0,1,0,2,10,11,29.5,54,0
Data Science,Machine Learning,3,11,21,36,12,9,NIT,Central University,Canada,Germany,210,792,2,0,0,0,0,0,8,3,2,28.5,60,1
Cybersecurity,Bioinformatics,11,12,34,35,3,9,Central University,NIT,Germany,USA,170,315,4,6,1,0,0,0,1,6,10,34.5,61,1
Computer Vision,Machine Learning,6,14,15,38,8,10,NIT,Research Institute,USA,Australia,330,418,8,9,0,0,0,0,8,2,17,26.5,71,1
Bioinformatics,Quantum Computing,5,13,29,33,24,19,Research Institute,NIT,Australia,Australia,319,495,7,5,1,0,0,1,8,5,12,31.0,48,0
Robotics,Machine Learning,7,7,22,22,3,27,NIT,Central University,Canada,India,132,286,7,4,0,0,0,0,0,24,11,22.0,58,1
IoT,Quantum Computing,7,9,18,23,3,9,NIT,Private University,Australia,Canada,90,437,5,4,1,0,0,0,2,6,9,20.5,68,1
Data Science,IoT,10,6,60,40,20,25,NIT,Private University,Germany,USA,1200,720,9,8,0,0,0,0,4,5,17,50.0,54,0
NLP,Machine Learning,11,6,46,10,10,13,NIT,Private University,USA,India,276,220,7,1,0,0,0,0,5,3,8,28.0,68,1
Bioinformatics,Robotics,11,3,31,18,29,11,Private University,NIT,USA,India,403,216,3,2,0,0,0,0,8,18,5,24.5,35,0
NLP,IoT,6,16,48,45,17,12,Private University,Central University,Australia,Germany,672,810,7,4,0,0,0,0,10,5,11,46.5,51,0
Robotics,Machine Learning,9,10,26,35,24,18,Private University,Research Institute,Germany,Canada,338,700,2,1,1,0,0,0,1,6,3,30.5,51,0
Cybersecurity,Quantum Computing,19,11,29,26,24,26,Central University,Research Institute,Germany,Australia,580,182,9,7,0,0,0,0,8,2,16,27.5,33,0
Cloud Computing,Machine Learning,8,10,18,26,11,12,Research Institute,Research Institute,Canada,India,108,572,6,3,1,0,1,0,2,1,9,22.0,56,1
IoT,Robotics,14,10,42,32,10,27,Private University,Research Institute,India,Australia,966,256,8,5,1,0,0,0,4,17,13,37.0,48,0
Cybersecurity,Cybersecurity,6,10,29,26,20,29,IIT,Research Institute,Australia,Canada,145,442,4,2,6,1,0,0,4,9,6,27.5,87,1
Machine Learning,IoT,4,8,12,18,11,7,NIT,Private University,UK,UK,168,234,0,7,0,0,0,1,4,4,7,15.0,48,0
Bioinformatics,Cybersecurity,11,5,28,24,8,10,Private University,Central University,USA,Australia,560,240,0,5,1,0,0,0,6,2,5,26.0,58,1
Machine Learning,IoT,11,17,54,25,16,7,Research Institute,Private University,USA,India,1296,125,9,3,0,0,0,0,6,9,12,39.5,53,0
Cloud Computing,Quantum Computing,12,23,23,56,29,21,IIT,Research Institute,USA,USA,207,336,6,1,0,0,0,1,11,8,7,39.5,50,0
Cybersecurity,IoT,18,5,26,17,29,21,Private University,IIT,UK,USA,546,408,1,3,0,0,0,0,13,8,4,21.5,37,0
IoT,Robotics,5,7,22,15,5,25,Research Institute,Private University,Canada,India,374,210,2,2,0,0,0,0,2,20,4,18.5,57,1
Bioinformatics,NLP,8,4,24,19,9,16,Central University,IIT,Canada,India,120,133,1,4,0,0,0,0,4,7,5,21.5,42,0
Computer Vision,Data Science,7,4,20,14,6,22,Private University,IIT,Canada,Australia,340,168,4,1,1,0,0,0,3,16,5,17.0,57,1
Cybersecurity,NLP,6,5,43,15,12,16,Research Institute,Private University,Australia,Australia,387,360,6,9,1,0,0,1,1,4,15,29.0,65,1
Cybersecurity,Data Science,22,11,41,22,20,17,IIT,Research Institute,USA,Canada,410,374,5,5,0,0,0,0,11,3,10,31.5,43,0
NLP,NLP,15,10,27,22,15,7,NIT,IIT,USA,Germany,594,154,9,3,6,1,0,0,5,8,12,24.5,72,1
Bioinformatics,IoT,8,4,16,11,20,25,Central University,Central University,Canada,Canada,80,143,2,0,1,0,1,1,4,5,2,13.5,47,0
NLP,Robotics,7,15,18,42,3,22,IIT,IIT,USA,Australia,396,252,1,6,1,0,1,0,8,19,7,30.0,25,0
Bioinformatics,IoT,10,17,46,26,6,20,IIT,Private University,Germany,Australia,1012,208,6,1,1,0,0,0,7,14,7,36.0,35,0
Machine Learning,Robotics,13,8,29,25,21,10,Research Institute,NIT,Germany,Australia,406,550,1,8,0,0,0,0,5,11,9,27.0,31,0
IoT,IoT,11,9,18,21,12,1,Private University,IIT,Germany,Australia,162,189,7,4,6,1,0,0,2,11,11,19.5,82,1
Quantum Computing,Cloud Computing,10,1,37,18,24,12,IIT,Central University,USA,Australia,555,342,9,7,0,0,0,0,9,12,16,27.5,43,0
Cloud Computing,NLP,11,11,22,49,10,4,NIT,NIT,India,India,506,1176,7,3,0,0,1,1,0,6,10,35.5,71,1
Data Science,Machine Learning,5,13,17,30,6,19,IIT,Research Institute,USA,Australia,119,630,3,7,0,0,0,0,8,13,10,23.5,55,1
Bioinformatics,Machine Learning,14,15,24,33,1,8,Central University,IIT,India,Germany,432,330,2,9,1,0,0,0,1,7,11,28.5,58,1
NLP,Bioinformatics,8,9,31,17,22,6,NIT,Research Institute,Canada,Canada,682,289,4,6,1,0,0,1,1,16,10,24.0,63,1
Quantum Computing,NLP,23,6,34,38,11,21,Research Institute,Private University,Australia,Canada,442,456,1,0,1,0,0,0,17,10,1,36.0,39,0
Quantum Computing,Computer Vision,7,3,31,17,26,12,Central University,Central University,India,UK,651,221,8,3,0,0,1,0,4,14,11,24.0,27,0
Data Science,Cybersecurity,8,7,37,32,29,1,Private University,Research Institute,India,India,481,512,4,0,1,0,0,1,1,28,4,34.5,55,1
Bioinformatics,Computer Vision,10,13,23,25,25,9,Private University,Central University,USA,UK,437,250,9,7,0,0,0,0,3,16,16,24.0,52,0
Cloud Computing,Robotics,5,10,16,19,9,13,Private University,NIT,Australia,Australia,144,399,4,1,1,0,0,1,5,4,5,17.5,63,1
Machine Learning,Cloud Computing,10,11,29,48,20,15,IIT,IIT,Australia,Germany,290,240,8,4,0,0,1,0,1,5,12,38.5,52,0
Quantum Computing,Quantum Computing,7,7,17,22,13,19,Central University,Central University,Germany,UK,238,506,0,8,6,1,1,0,0,6,8,19.5,89,1
Cloud Computing,Data Science,10,21,18,35,21,19,Research Institute,NIT,Australia,Australia,414,595,7,5,1,0,0,1,11,2,12,26.5,43,0
Quantum Computing,IoT,15,9,43,18,8,17,Private University,Private University,Australia,USA,817,108,2,3,0,0,1,0,6,9,5,30.5,48,0
Quantum Computing,Bioinformatics,8,13,32,39,12,7,NIT,NIT,Canada,India,544,897,0,1,0,0,1,0,5,5,1,35.5,44,0
Computer Vision,Computer Vision,4,7,19,20,26,21,IIT,NIT,Germany,Australia,171,460,8,8,6,1,0,0,3,5,16,19.5,93,1
Cybersecurity,Data Science,6,11,20,40,8,9,Private University,Central University,India,Australia,120,240,6,8,1,0,0,0,5,1,14,30.0,35,0
Robotics,Robotics,8,5,28,14,2,18,IIT,Central University,Canada,UK,560,294,4,6,6,1,0,0,3,16,10,21.0,87,1
Computer Vision,Cloud Computing,20,9,31,32,22,10,Central University,Research Institute,UK,UK,217,704,0,5,1,0,0,1,11,12,5,31.5,38,0
Machine Learning,Data Science,7,7,24,22,11,21,IIT,Central University,Canada,Germany,144,528,4,7,0,0,0,0,0,10,11,23.0,65,1
Quantum Computing,NLP,3,4,21,42,13,2,Research Institute,NIT,India,UK,462,336,9,3,0,0,0,0,1,11,12,31.5,48,0
Data Science,Machine Learning,32,10,43,27,6,14,Private University,NIT,Germany,Germany,215,648,4,5,0,0,0,1,22,8,9,35.0,76,1
NLP,Data Science,13,6,26,27,6,1,Private University,Private University,Australia,Germany,494,297,9,3,1,0,1,0,7,5,12,26.5,43,0
Machine Learning,Quantum Computing,18,12,36,31,22,25,Research Institute,Central University,UK,Australia,288,403,8,4,0,0,0,0,6,3,12,33.5,62,1
Cloud Computing,Quantum Computing,5,4,17,18,10,26,IIT,Central University,USA,UK,187,306,5,5,1,0,0,0,1,16,10,17.5,51,0
Computer Vision,Machine Learning,8,16,23,25,4,19,NIT,Central University,UK,Germany,207,225,9,2,1,0,0,0,8,15,11,24.0,41,0
Cloud Computing,Quantum Computing,13,7,40,21,8,18,NIT,Private University,Australia,USA,640,210,2,9,0,0,0,0,6,10,11,30.5,48,0
Quantum Computing,Data Science,18,9,45,42,6,27,IIT,IIT,UK,UK,720,672,2,3,0,0,1,1,9,21,5,43.5,34,0
Cybersecurity,Robotics,5,5,12,29,29,11,IIT,Central University,Germany,Germany,84,290,4,3,0,0,0,1,0,18,7,20.5,63,1
Bioinformatics,Bioinformatics,7,14,26,31,1,3,NIT,NIT,Australia,India,416,341,1,5,6,1,1,0,7,2,6,28.5,79,1
Data Science,Computer Vision,15,3,31,45,24,6,IIT,Private University,USA,Australia,527,810,3,2,1,0,0,0,12,18,5,38.0,30,0
Machine Learning,NLP,13,6,24,37,10,7,Private University,NIT,Australia,UK,384,518,6,8,1,0,0,0,7,3,14,30.5,79,1
IoT,Data Science,11,8,22,23,25,11,Research Institute,NIT,UK,India,308,138,4,2,0,0,0,0,3,14,6,22.5,50,0
Cloud Computing,Machine Learning,9,6,32,20,22,11,NIT,Private University,USA,Germany,224,360,1,4,0,0,0,0,3,11,5,26.0,46,0
Cloud Computing,Bioinformatics,6,9,46,25,10,6,IIT,IIT,India,Canada,460,525,0,4,0,0,1,0,3,4,4,35.5,43,0
Quantum Computing,IoT,10,5,51,21,3,6,IIT,IIT,UK,India,867,147,2,2,1,0,1,0,5,3,4,36.0,39,0
Cloud Computing,Quantum Computing,8,3,27,15,1,28,Central University,Central University,India,Canada,567,195,8,9,0,0,1,0,5,27,17,21.0,44,0
Robotics,Robotics,4,13,17,40,19,12,Central University,Central University,USA,UK,204,240,5,0,6,1,1,0,9,7,5,28.5,76,1
Cloud Computing,Computer Vision,10,12,27,35,1,21,Central University,Central University,Germany,USA,594,490,3,8,0,0,1,0,2,20,11,31.0,46,0
NLP,Machine Learning,15,5,29,23,29,4,Central University,Research Institute,India,Australia,551,345,7,8,1,0,0,0,10,25,15,26.0,39,0
Cloud Computing,Cloud Computing,15,11,39,37,24,22,IIT,Central University,USA,Australia,585,592,7,0,6,1,0,0,4,2,7,38.0,88,1
Data Science,Bioinformatics,10,9,43,29,2,7,Central University,Research Institute,USA,USA,258,638,1,3,0,0,0,1,1,5,4,36.0,80,1
NLP,Quantum Computing,16,17,28,27,18,24,IIT,Central University,UK,Australia,560,162,9,5,1,0,0,0,1,6,14,27.5,55,1
IoT,Machine Learning,6,3,23,34,1,14,IIT,Private University,USA,Canada,529,646,0,1,1,0,0,0,3,13,1,28.5,37,0
Machine Learning,Machine Learning,3,7,10,31,16,29,IIT,IIT,Germany,Germany,150,279,5,5,6,1,1,1,4,13,10,20.5,66,1
Cybersecurity,Quantum Computing,4,5,38,18,13,18,NIT,Research Institute,Canada,Canada,798,108,4,6,0,0,0,1,1,5,10,28.0,72,1
IoT,Bioinformatics,12,9,29,22,16,11,Research Institute,Central University,UK,USA,406,308,8,6,0,0,0,0,3,5,14,25.5,67,1
Cloud Computing,Quantum Computing,13,8,40,27,9,16,IIT,NIT,Germany,India,760,594,5,1,1,0,0,0,5,7,6,33.5,40,0
IoT,Bioinformatics,4,6,14,29,9,3,IIT,Private University,Germany,Germany,196,609,1,6,1,0,0,1,2,6,7,21.5,70,1
Robotics,Quantum Computing,8,3,34,17,22,10,NIT,Central University,USA,UK,238,187,0,9,1,0,0,0,5,12,9,25.5,41,0
Cybersecurity,Data Science,9,2,28,26,1,18,NIT,Central University,Canada,Germany,588,260,3,3,0,0,0,0,7,17,6,27.0,35,0
IoT,IoT,8,10,52,29,22,2,IIT,IIT,India,UK,1040,348,2,4,6,1,1,0,2,20,6,40.5,84,1
IoT,Bioinformatics,3,11,19,23,11,9,Private University,Central University,USA,Australia,190,138,3,2,1,0,0,0,8,2,5,21.0,48,0
Quantum Computing,Computer Vision,9,6,26,30,13,26,NIT,Private University,Australia,Canada,520,600,7,0,0,0,0,0,3,13,7,28.0,46,0
Computer Vision,Computer Vision,9,17,20,23,25,27,Central University,Central University,Australia,Australia,200,253,4,4,6,1,1,1,8,2,8,21.5,73,1
IoT,Cybersecurity,4,16,23,49,25,11,Private University,NIT,Australia,Australia,437,1029,0,2,1,0,0,1,12,14,2,36.0,31,0
Robotics,IoT,9,10,36,41,10,2,Research Institute,Private University,USA,India,324,861,9,6,1,0,0,0,1,8,15,38.5,77,1
Data Science,Quantum Computing,3,4,20,25,25,27,NIT,Private University,Canada,Germany,420,375,5,1,1,0,0,0,1,2,6,22.5,56,1
Quantum Computing,Robotics,16,4,39,21,23,2,Central University,NIT,Australia,Canada,234,147,0,0,0,0,0,0,12,21,0,30.0,20,0
Computer Vision,Computer Vision,8,7,12,45,26,2,Research Institute,Research Institute,Germany,Australia,180,720,1,9,6,1,1,0,1,24,10,28.5,65,1
IoT,Computer Vision,9,6,25,13,7,3,Central University,Private University,Australia,USA,200,143,4,5,1,0,0,0,3,4,9,19.0,54,0
Bioinformatics,Quantum Computing,9,13,35,45,23,3,Private University,IIT,India,Canada,210,450,7,1,1,0,0,0,4,20,8,40.0,42,0
Quantum Computing,IoT,21,13,30,28,19,21,Private University,IIT,UK,India,450,616,9,9,1,0,0,0,8,2,18,29.0,38,0
Robotics,Machine Learning,6,12,15,20,20,23,NIT,NIT,Australia,Canada,330,400,6,3,1,0,1,0,6,3,9,17.5,49,0
NLP,Bioinformatics,5,14,52,46,23,11,Private University,Private University,Australia,Australia,572,828,3,2,0,0,1,1,9,12,5,49.0,27,0
Quantum Computing,Robotics,9,10,55,21,6,2,Private University,Central University,USA,UK,440,504,3,5,1,0,0,0,1,4,8,38.0,55,1
Quantum Computing,Data Science,14,11,35,38,10,17,Central University,IIT,Germany,Australia,420,836,9,7,1,0,0,0,3,7,16,36.5,60,1
Machine Learning,Cybersecurity,6,19,15,35,15,18,Research Institute,NIT,Australia,UK,120,455,2,7,1,0,0,0,13,3,9,25.0,50,0
Machine Learning,Machine Learning,7,7,10,26,13,12,Central University,IIT,Australia,Canada,140,520,7,9,6,1,0,0,0,1,16,18.0,86,1
Cloud Computing,Bioinformatics,6,14,21,34,1,1,Central University,IIT,India,USA,147,680,3,8,1,0,0,0,8,0,11,27.5,36,0
Cybersecurity,Data Science,17,10,51,31,14,17,Research Institute,Private University,Germany,Germany,1071,682,4,1,0,0,0,1,7,3,5,41.0,57,1
Cybersecurity,Robotics,6,4,19,18,17,2,Private University,NIT,Australia,Germany,323,324,3,9,1,0,0,0,2,15,12,18.5,44,0
NLP,Cybersecurity,8,8,35,19,20,6,NIT,Central University,Australia,Germany,490,456,9,0,1,0,0,0,0,14,9,27.0,45,0
NLP,NLP,5,5,20,14,16,20,Central University,NIT,Canada,India,180,182,7,9,6,1,0,0,0,4,16,17.0,79,1
Computer Vision,IoT,6,8,31,15,27,8,IIT,Private University,USA,USA,217,165,0,7,0,0,0,1,2,19,7,23.0,64,1
Computer Vision,Cybersecurity,12,8,26,39,25,10,NIT,Private University,Canada,Canada,364,195,1,6,0,0,0,1,4,15,7,32.5,45,0
Quantum Computing,NLP,6,12,35,31,19,22,Private University,Private University,Australia,Australia,770,589,8,5,1,0,1,1,6,3,13,33.0,47,0
Cybersecurity,Cybersecurity,9,5,22,21,24,26,Research Institute,Central University,Germany,USA,462,504,3,1,6,1,0,0,4,2,4,21.5,82,1
NLP,Machine Learning,4,19,18,56,3,13,Private University,Research Institute,Australia,Germany,198,1008,0,0,1,0,0,0,15,10,0,37.0,43,0
Robotics,Cybersecurity,7,15,24,31,23,10,Research Institute,Research Institute,UK,Australia,384,341,0,1,0,0,1,0,8,13,1,27.5,22,0
Data Science,Quantum Computing,10,13,44,34,19,10,IIT,Private University,India,Canada,880,714,2,8,1,0,0,0,3,9,10,39.0,56,1
Data Science,IoT,6,11,30,23,26,26,IIT,IIT,Australia,USA,300,345,6,1,0,0,1,0,5,0,7,26.5,35,0
Cloud Computing,Cloud Computing,12,8,56,14,29,16,Central University,IIT,Germany,Australia,1064,168,2,2,6,1,0,0,4,13,4,35.0,55,1
Quantum Computing,IoT,11,3,25,11,15,23,IIT,IIT,USA,Canada,275,264,8,3,1,0,1,0,8,8,11,18.0,40,0
Cloud Computing,Quantum Computing,4,5,30,13,2,5,Research Institute,IIT,UK,UK,540,312,9,6,1,0,0,1,1,3,15,21.5,69,1
Cloud Computing,IoT,8,19,23,45,15,5,IIT,Research Institute,Germany,Germany,368,495,9,5,1,0,0,1,11,10,14,34.0,68,1
Quantum Computing,Data Science,7,9,45,21,12,14,Central University,Central University,Germany,UK,495,252,2,6,1,0,1,0,2,2,8,33.0,45,0
NLP,Quantum Computing,10,14,23,41,20,17,IIT,Central University,Canada,Canada,460,902,4,4,1,0,0,1,4,3,8,32.0,58,1
Quantum Computing,IoT,15,18,43,25,14,6,Central University,Research Institute,India,USA,473,225,3,0,0,0,0,0,3,8,3,34.0,50,0
Quantum Computing,Bioinformatics,2,8,8,19,3,27,IIT,Research Institute,Canada,India,48,152,0,6,1,0,0,0,6,24,6,13.5,38,0
Bioinformatics,NLP,13,7,25,25,18,17,Private University,Research Institute,India,India,500,175,6,3,1,0,0,1,6,1,9,25.0,46,0
Bioinformatics,Quantum Computing,3,16,14,34,2,24,Central University,Central University,USA,UK,112,816,2,5,1,0,1,0,13,22,7,24.0,39,0
Bioinformatics,Computer Vision,9,13,34,20,29,10,IIT,Research Institute,Canada,USA,238,140,8,6,0,0,0,0,4,19,14,27.0,46,0
Quantum Computing,IoT,8,12,12,28,14,9,NIT,Central University,Canada,USA,96,448,1,4,1,0,0,0,4,5,5,20.0,58,1
Bioinformatics,NLP,8,6,12,11,19,16,NIT,Research Institute,Germany,India,252,220,7,3,0,0,0,0,2,3,10,11.5,51,0
Data Science,Quantum Computing,1,9,12,27,10,9,IIT,NIT,USA,Germany,60,648,4,3,0,0,0,0,8,1,7,19.5,29,0
Cybersecurity,IoT,25,10,42,23,6,29,Private University,NIT,USA,USA,588,437,8,2,0,0,0,1,15,23,10,32.5,46,0
Quantum Computing,Bioinformatics,5,2,20,5,9,11,Central University,IIT,India,India,240,35,5,0,1,0,0,1,3,2,5,12.5,68,1
